备货单号,第三方单号,运输方式,发货仓,中转仓,收货仓,备货单状态,sku,第三方sku,品类,箱号,装箱数量,分配的收货数量,成本价,创建人,销售部门,发货时间,整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_B1_S,465825677026,服装/服饰配件->男装->男式->西装->西装马甲,9169685,4,4,46.279,王凤梅,,"2024-07-26 23:05:49",整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_B1_L,466665150045,服装/服饰配件->男装->男式->西装->西装马甲,9169685,6,6,46.279,王凤梅,,"2024-07-26 23:05:49",整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_BL_M,467655724857,服装/服饰配件->男装->男式->西装->西装马甲,9169685,5,5,46.279,王凤梅,,"2024-07-26 23:05:49",整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_BL_XXL,465528565590,服装/服饰配件->男装->男式->西装->西装马甲,9169685,4,4,46.279,王凤梅,,"2024-07-26 23:05:49",整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_NB_XL,462736890445,服装/服饰配件->男装->男式->西装->西装马甲,9169685,3,3,34.239,王凤梅,,"2024-07-26 23:05:49",整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_NB_XL,462736890445,服装/服饰配件->男装->男式->西装->西装马甲,9169741,2,2,34.239,王凤梅,,"2024-07-26 23:05:49",非整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_GR_L,464081226351,服装/服饰配件->男装->男式->西装->西装马甲,9169741,5,5,34.239,王凤梅,,"2024-07-26 23:05:49",非整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_GR_M,461136844584,服装/服饰配件->男装->男式->西装->西装马甲,9169741,5,5,34.239,王凤梅,,"2024-07-26 23:05:49",非整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_B_M,464531128662,服装/服饰配件->男装->男式->西装->西装马甲,9169741,3,3,46.279,王凤梅,,"2024-07-26 23:05:49",非整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_B_L,467500515418,服装/服饰配件->男装->男式->西装->西装马甲,9169741,4,4,46.279,王凤梅,,"2024-07-26 23:05:49",非整箱到货
